,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,yulara,-25.24,130.99,60.8,36,0,11.41,AU,1604009851
290,grand gaube,-20.01,57.66,69.01,67,1,5.01,MU,1604009852
291,kidal,18.44,1.41,81.41,14,0,13.62,ML,1604009854
292,saint-philippe,-21.36,55.77,71.6,56,75,17.22,RE,1604009855
293,capaci,38.17,13.24,66.2,72,40,8.05,IT,1604009856
294,bardstown,37.81,-85.47,50.0,100,90,9.17,US,1604009857
295,halifax,44.65,-63.57,48.0,79,100,1.01,CA,1604009582
296,samarai,-10.62,150.67,79.88,81,75,6.87,PG,1604009860
297,ruteng,-8.61,120.47,62.89,95,89,0.76,ID,1604009861
298,goderich,43.75,-81.72,43.0,84,98,19.01,CA,1604009862
299,necochea,-38.55,-58.74,52.0,67,0,1.99,AR,1604009863
300,maneromango,-7.2,38.78,73.4,94,20,2.26,TZ,1604009864
301,malinovskiy,61.2,62.84,34.43,92,82,7.16,RU,1604009865
302,araouane,18.9,-3.53,87.03,13,47,8.55,ML,1604009866
303,sobolevo,54.43,31.9,45.41,86,100,7.54,RU,1604009867
304,los llanos de aridane,28.66,-17.92,71.6,64,75,10.29,ES,1604009869
305,anju,39.62,125.66,37.47,73,0,4.21,KP,1604009870
306,doka,13.52,35.77,80.78,30,0,5.66,SD,1604009871
307,obala,4.17,11.53,69.8,100,20,1.14,CM,1604009872
308,ostrovnoy,68.05,39.51,42.69,85,100,22.64,RU,1604009873
309,vila franca do campo,37.72,-25.43,69.8,94,75,12.75,PT,1604009797
310,banda aceh,5.56,95.32,80.13,72,100,11.34,ID,1604009757
311,mecca,21.43,39.83,75.49,61,0,1.77,SA,1604009689
312,umm kaddadah,13.6,26.69,84.99,21,0,13.35,SD,1604009878
313,adrar,20.5,-10.07,83.8,14,64,8.23,MR,1604009879
314,sorland,67.67,12.69,37.4,59,75,9.17,NO,1604009880
315,dunedin,-45.87,170.5,59.0,81,100,5.99,NZ,1604009627
316,kaniama,-7.57,24.18,66.61,95,100,1.54,CD,1604009882
317,milkovo,54.72,158.62,32.11,95,56,0.67,RU,1604009883
318,pelotas,-31.77,-52.34,57.99,81,87,3.0,BR,1604009884
319,sola,-13.88,167.55,82.4,83,75,17.16,VU,1604009885
320,kogon,39.72,64.55,37.4,64,0,6.93,UZ,1604009886
321,bandarbeyla,9.49,50.81,78.58,82,50,10.25,SO,1604009888
322,bilibino,68.05,166.44,0.63,82,28,1.86,RU,1604009889
323,edd,13.93,41.69,84.54,36,0,15.57,ER,1604009890
324,avanigadda,16.02,80.92,73.74,76,80,3.22,IN,1604009891
325,terrell,32.74,-96.28,60.01,62,90,6.93,US,1604009892
326,dabat,12.98,37.77,53.38,64,12,4.05,ET,1604009893
327,carberry,49.87,-99.36,32.0,80,90,8.05,CA,1604009894
328,yar-sale,66.83,70.83,13.19,96,90,8.34,RU,1604009895
329,inzhavino,52.32,42.49,43.47,64,88,9.1,RU,1604009896
330,muroto,33.28,134.15,59.0,58,20,12.75,JP,1604009898
331,tutoia,-2.76,-42.27,84.2,66,0,21.92,BR,1604009899
332,port blair,11.67,92.75,80.17,85,99,8.12,IN,1604009720
333,luganville,-15.53,167.17,78.8,88,75,4.7,VU,1604009901
334,half moon bay,37.46,-122.43,75.0,37,5,5.82,US,1604009902
335,saskylakh,71.92,114.08,0.25,84,0,5.12,RU,1604009903
336,biltine,14.53,20.92,86.97,19,92,12.93,TD,1604009904
337,karatau,43.17,70.47,27.52,93,0,2.42,KZ,1604009907
338,matane,48.83,-67.52,32.0,60,52,12.91,CA,1604009908
339,muros,42.78,-9.06,51.01,93,3,6.38,ES,1604009909
340,nioro,13.35,-15.75,78.8,53,75,4.61,GM,1604009910
341,dukat,62.55,155.55,8.96,92,77,2.75,RU,1604009911
342,tasiilaq,65.61,-37.64,37.4,55,100,19.46,GL,1604009912
343,weinan,34.5,109.51,53.01,93,20,4.47,CN,1604009913
344,cuenca,-2.88,-78.98,68.0,56,75,8.05,EC,1604009857
345,santa rosa,14.31,121.11,78.8,88,40,3.36,PH,1604009915
346,monte santo de minas,-21.19,-46.98,68.34,90,85,4.25,BR,1604009917
347,quatre cocos,-20.21,57.76,69.01,67,16,5.01,MU,1604009918
348,iqaluit,63.75,-68.51,6.12,90,67,9.04,CA,1604009919
349,verkhnevilyuysk,63.45,120.32,-6.16,91,49,4.12,RU,1604009920
350,baturaja,-4.13,104.17,73.53,92,11,2.17,ID,1604009921
351,faanui,-16.48,-151.75,80.4,77,0,9.73,PF,1604009922
352,sherkot,29.35,78.58,64.08,53,0,3.31,IN,1604009923
353,high level,58.52,-117.14,25.84,87,0,4.23,CA,1604009924
354,pathein,16.78,94.73,74.82,94,100,1.88,MM,1604009926
355,monte santo,-10.44,-39.33,79.56,45,33,7.72,BR,1604009927
356,puerto del rosario,28.5,-13.86,71.6,73,0,4.7,ES,1604009928
357,methoni,36.82,21.7,64.0,82,40,15.23,GR,1604009929
358,mogadishu,2.04,45.34,79.47,79,100,7.58,SO,1604009726
359,azare,11.68,10.19,79.38,24,0,6.22,NG,1604009931
360,castelo branco,39.82,-7.49,57.0,85,0,1.99,PT,1604009932
361,honningsvag,70.98,25.97,37.4,59,40,19.46,NO,1604009933
362,krasnoselkup,65.7,82.47,-3.86,92,13,4.27,RU,1604009935
363,ariguani,10.25,-74.0,84.0,78,99,4.09,CO,1604009937
364,bengkulu,-3.8,102.27,75.34,87,87,3.85,ID,1604009938
365,nouadhibou,20.93,-17.03,69.8,73,0,16.11,MR,1604009939
366,ulverstone,-41.15,146.17,55.99,82,26,3.33,AU,1604009941
367,katsuura,35.13,140.3,59.0,47,75,13.87,JP,1604009943
368,honiara,-9.43,159.95,78.8,88,75,2.24,SB,1604009944
369,omboue,-1.57,9.26,76.19,91,100,3.62,GA,1604009945
370,lusambo,-4.97,23.45,69.96,94,97,1.99,CD,1604009946
371,grindavik,63.84,-22.43,41.0,100,75,9.17,IS,1604009948
372,dongying,37.46,118.49,51.66,59,2,3.18,CN,1604009950
373,saldanha,-33.01,17.94,44.6,75,0,3.36,ZA,1604009951
374,cayenne,4.93,-52.33,84.2,79,75,6.93,GF,1604009761
375,tongchuan,35.08,109.09,47.16,80,16,4.72,CN,1604009953
376,piacabucu,-10.41,-36.43,77.02,83,18,12.66,BR,1604009955
377,waitati,-45.75,170.57,59.0,87,100,25.01,NZ,1604009956
378,berlevag,70.86,29.09,33.8,86,75,18.34,NO,1604009957
379,byron bay,-28.65,153.62,73.99,88,9,0.74,AU,1604009682
380,hervey bay,-25.3,152.85,80.01,72,0,4.7,AU,1604009959
381,deneysville,-26.89,28.1,66.9,26,38,8.68,ZA,1604009961
382,padang,-0.95,100.35,77.68,71,64,4.88,ID,1604009695
383,okha,53.57,142.95,36.57,89,83,9.6,RU,1604009963
